unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767593587041,1767593586.9959064,442.0,140100.0,57726.0
1767593587041,1767593586.9959219,443.0,140056.0,57736.0
1767593587041,1767593586.9959376,442.0,140115.0,57772.0
1767593587041,1767593586.995953,444.0,140081.0,57761.0
1767593587041,1767593586.9959688,442.0,140056.0,57786.0
1767593587041,1767593586.9959843,442.0,140033.0,57807.0
1767593587276,1767593587.0989063,441.0,140053.0,57801.0
1767593587276,1767593587.0989218,441.0,140063.0,57823.0
1767593587276,1767593587.0989375,443.0,140022.0,57822.0
1767593587276,1767593587.098953,442.0,140007.0,57827.0
1767593587276,1767593587.0989687,441.0,139998.0,57836.0
1767593587276,1767593587.0989842,441.0,139974.0,57825.0
1767593587276,1767593587.2039063,442.0,139969.0,57836.0
1767593587276,1767593587.2039218,440.0,139909.0,57788.0
1767593587276,1767593587.2039375,442.0,139892.0,57771.0
1767593587276,1767593587.203953,442.0,139878.0,57783.0
1767593587276,1767593587.2039688,442.0,139916.0,57772.0
1767593587276,1767593587.2039843,441.0,139899.0,57750.0
1767593587406,1767593587.2949064,442.0,139846.0,57760.0
1767593587407,1767593587.2949219,443.0,139856.0,57772.0
1767593587407,1767593587.2949376,441.0,139817.0,57715.0
1767593587407,1767593587.294953,442.0,139763.0,57749.0
1767593587407,1767593587.2949688,442.0,139741.0,57699.0
1767593587408,1767593587.2949843,441.0,139748.0,57694.0
1767593587438,1767593587.3989062,441.0,139729.0,57690.0
1767593587439,1767593587.3989217,442.0,139727.0,57681.0
1767593587439,1767593587.3989375,443.0,139692.0,57692.0
1767593587439,1767593587.398953,442.0,139719.0,57643.0
1767593587439,1767593587.3989687,443.0,139681.0,57651.0
1767593587439,1767593587.3989842,442.0,139676.0,57644.0
1767593587477,1767593587.4749062,442.0,139662.0,57644.0
1767593587477,1767593587.4749217,443.0,139652.0,57659.0
1767593587477,1767593587.4749374,443.0,139738.0,57669.0
1767593587477,1767593587.474953,443.0,139685.0,57657.0
1767593587477,1767593587.4749687,444.0,139663.0,57673.0
1767593587477,1767593587.4749842,443.0,139713.0,57693.0
1767593587582,1767593587.5639062,443.0,139726.0,57708.0
1767593587582,1767593587.5639217,442.0,139736.0,57711.0
1767593587582,1767593587.5639374,443.0,139688.0,57698.0
1767593587582,1767593587.563953,441.0,139687.0,57694.0
1767593587582,1767593587.5639687,442.0,139727.0,57727.0
1767593587582,1767593587.5639842,442.0,139749.0,57753.0
1767593587688,1767593587.6839063,443.0,139756.0,57764.0
1767593587688,1767593587.6839218,441.0,139772.0,57752.0
1767593587688,1767593587.6839375,441.0,139757.0,57742.0
1767593587688,1767593587.683953,443.0,139770.0,57738.0
1767593587688,1767593587.6839688,442.0,139749.0,57734.0
1767593587688,1767593587.6839843,444.0,139717.0,57700.0
1767593587779,1767593587.7439063,442.0,139731.0,57696.0
1767593587779,1767593587.7439218,443.0,139748.0,57707.0
1767593587779,1767593587.7439375,444.0,139777.0,57722.0
1767593587779,1767593587.743953,442.0,139724.0,57702.0
1767593587779,1767593587.7439687,442.0,139786.0,57704.0
1767593587779,1767593587.7439842,443.0,139703.0,57700.0
1767593587887,1767593587.8699062,443.0,139738.0,57712.0
1767593587887,1767593587.8699217,443.0,139704.0,57676.0
1767593587887,1767593587.8699374,443.0,139673.0,57680.0
1767593587887,1767593587.869953,444.0,139717.0,57717.0
1767593587887,1767593587.8699687,443.0,139738.0,57728.0
1767593587887,1767593587.8699841,443.0,139706.0,57726.0
1767593587955,1767593587.9249063,443.0,139647.0,57750.0
1767593587955,1767593587.9249218,443.0,139669.0,57739.0
1767593587955,1767593587.9249375,443.0,139616.0,57747.0
1767593587955,1767593587.924953,443.0,139639.0,57752.0
1767593587955,1767593587.9249687,443.0,139606.0,57751.0
1767593587955,1767593587.9249842,442.0,139614.0,57730.0
1767593588067,1767593588.0589063,442.0,139569.0,57738.0
1767593588067,1767593588.0589218,442.0,139580.0,57706.0
1767593588067,1767593588.0589375,441.0,139512.0,57689.0
1767593588067,1767593588.058953,442.0,139533.0,57691.0
1767593588067,1767593588.0589688,441.0,139540.0,57654.0
1767593588067,1767593588.0589843,442.0,139517.0,57664.0
1767593588129,1767593588.1189063,440.0,139440.0,57642.0
1767593588129,1767593588.1189218,442.0,139517.0,57648.0
1767593588129,1767593588.1189375,441.0,139407.0,57632.0
1767593588129,1767593588.118953,441.0,139454.0,57633.0
1767593588129,1767593588.1189687,441.0,139400.0,57644.0
1767593588129,1767593588.1189842,442.0,139427.0,57652.0
1767593588220,1767593588.2099063,441.0,139464.0,57648.0
1767593588220,1767593588.2099218,441.0,139483.0,57685.0
1767593588220,1767593588.2099376,441.0,139469.0,57697.0
1767593588220,1767593588.209953,442.0,139473.0,57736.0
1767593588220,1767593588.2099688,442.0,139591.0,57778.0
1767593588220,1767593588.2099843,442.0,139567.0,57767.0
1767593588332,1767593588.3139062,440.0,139602.0,57807.0
1767593588332,1767593588.3139217,441.0,139642.0,57797.0
1767593588332,1767593588.3139374,441.0,139618.0,57837.0
1767593588332,1767593588.313953,441.0,139569.0,57852.0
1767593588332,1767593588.3139687,443.0,139592.0,57845.0
1767593588332,1767593588.3139842,443.0,139578.0,57834.0
1767593588410,1767593588.4069064,441.0,139571.0,57823.0
1767593588411,1767593588.4069219,442.0,139539.0,57808.0
1767593588411,1767593588.4069376,442.0,139548.0,57799.0
1767593588411,1767593588.406953,441.0,139508.0,57762.0
1767593588411,1767593588.4069688,443.0,139576.0,57795.0
1767593588411,1767593588.4069843,442.0,139531.0,57752.0
1767593588502,1767593588.4939063,442.0,139498.0,57772.0
1767593588502,1767593588.4939218,441.0,139530.0,57732.0
1767593588502,1767593588.4939375,443.0,139501.0,57696.0
1767593588502,1767593588.493953,440.0,139453.0,57658.0
1767593588502,1767593588.4939687,442.0,139431.0,57659.0
1767593588502,1767593588.4939842,441.0,139465.0,57645.0
1767593588616,1767593588.5989063,441.0,139437.0,57662.0
1767593588616,1767593588.5989218,442.0,139523.0,57652.0
1767593588616,1767593588.5989375,440.0,139523.0,57689.0
1767593588616,1767593588.598953,442.0,139541.0,57732.0
1767593588616,1767593588.5989687,440.0,139616.0,57790.0
1767593588616,1767593588.5989842,441.0,139698.0,57863.0
1767593588710,1767593588.6749063,441.0,139705.0,57918.0
1767593588710,1767593588.6749218,442.0,139747.0,57944.0
1767593588710,1767593588.6749375,443.0,139697.0,57951.0
1767593588710,1767593588.674953,441.0,139733.0,57954.0
1767593588710,1767593588.6749687,442.0,139709.0,57962.0
1767593588710,1767593588.6749842,442.0,139699.0,57932.0
1767593588802,1767593588.7959063,441.0,139692.0,57906.0
1767593588802,1767593588.7959218,440.0,139608.0,57888.0
1767593588802,1767593588.7959375,443.0,139527.0,57860.0
1767593588802,1767593588.795953,441.0,139497.0,57822.0
1767593588802,1767593588.7959688,442.0,139423.0,57754.0
1767593588802,1767593588.7959843,443.0,139344.0,57721.0
1767593588918,1767593588.8689063,440.0,139351.0,57702.0
1767593588918,1767593588.8689218,441.0,139299.0,57676.0
1767593588918,1767593588.8689375,442.0,139273.0,57648.0
1767593588929,1767593588.868953,442.0,139266.0,57666.0
1767593588929,1767593588.8689687,442.0,139252.0,57646.0
1767593588934,1767593588.8689842,442.0,139283.0,57680.0
1767593588980,1767593588.9739063,442.0,139271.0,57688.0
1767593588980,1767593588.9739218,441.0,139311.0,57734.0
1767593588980,1767593588.9739375,443.0,139304.0,57778.0
1767593588980,1767593588.973953,441.0,139341.0,57836.0
1767593588983,1767593588.9739687,442.0,139357.0,57893.0
1767593588983,1767593588.9739842,442.0,139421.0,57962.0
1767593589054,1767593589.0519063,440.0,139452.0,57949.0
1767593589054,1767593589.0519218,441.0,139441.0,57941.0
1767593589054,1767593589.0519376,443.0,139354.0,57916.0
1767593589054,1767593589.051953,442.0,139384.0,57898.0
1767593589054,1767593589.0519688,441.0,139348.0,57870.0
1767593589054,1767593589.0519843,442.0,139345.0,57837.0
1767593589188,1767593589.1849062,443.0,139345.0,57825.0
1767593589188,1767593589.1849217,442.0,139295.0,57810.0
1767593589188,1767593589.1849375,443.0,139301.0,57799.0
1767593589188,1767593589.184953,441.0,139296.0,57805.0
1767593589188,1767593589.1849687,441.0,139381.0,57786.0
1767593589188,1767593589.1849842,443.0,139353.0,57805.0
1767593589248,1767593589.2449062,442.0,139286.0,57784.0
1767593589248,1767593589.2449217,441.0,139340.0,57810.0
1767593589248,1767593589.2449374,442.0,139362.0,57821.0
1767593589248,1767593589.244953,441.0,139363.0,57839.0
1767593589248,1767593589.2449687,442.0,139409.0,57848.0
1767593589248,1767593589.2449841,441.0,139460.0,57889.0
1767593589356,1767593589.3499062,441.0,139525.0,57975.0
1767593589356,1767593589.3499217,442.0,139544.0,57979.0
1767593589356,1767593589.3499374,441.0,139593.0,57991.0
1767593589357,1767593589.349953,441.0,139622.0,58043.0
1767593589358,1767593589.3499687,442.0,139650.0,58042.0
1767593589358,1767593589.3499842,442.0,139602.0,58031.0
1767593589443,1767593589.4399064,441.0,139652.0,58029.0
1767593589443,1767593589.4399219,442.0,139637.0,58032.0
1767593589443,1767593589.4399376,442.0,139653.0,58007.0
1767593589443,1767593589.439953,442.0,139595.0,57973.0
1767593589443,1767593589.4399688,442.0,139577.0,57940.0
1767593589443,1767593589.4399843,441.0,139526.0,57908.0
1767593589539,1767593589.5309062,442.0,139435.0,57875.0
1767593589539,1767593589.5309217,443.0,139363.0,57818.0
1767593589540,1767593589.5309374,442.0,139425.0,57820.0
1767593589540,1767593589.530953,441.0,139351.0,57810.0
1767593589540,1767593589.5309687,442.0,139322.0,57809.0
1767593589540,1767593589.5309842,441.0,139356.0,57824.0
1767593589639,1767593589.6189063,441.0,139333.0,57781.0
1767593589643,1767593589.6189218,440.0,139357.0,57787.0
1767593589643,1767593589.6189375,441.0,139344.0,57774.0
1767593589643,1767593589.618953,443.0,139338.0,57800.0
1767593589643,1767593589.6189687,442.0,139348.0,57806.0
1767593589643,1767593589.6189842,441.0,139328.0,57818.0
1767593589726,1767593589.7089064,442.0,139389.0,57912.0
1767593589726,1767593589.708922,440.0,139438.0,57969.0
1767593589726,1767593589.7089376,442.0,139490.0,57997.0
1767593589726,1767593589.7089531,441.0,139497.0,58005.0
1767593589726,1767593589.7089689,442.0,139509.0,58000.0
1767593589726,1767593589.7089844,442.0,139544.0,57993.0
1767593589868,1767593589.7989063,442.0,139492.0,57958.0
1767593589868,1767593589.7989218,443.0,139431.0,57929.0
1767593589868,1767593589.7989376,442.0,139420.0,57941.0
1767593589868,1767593589.798953,444.0,139462.0,57899.0
1767593589868,1767593589.7989688,441.0,139433.0,57893.0
1767593589868,1767593589.7989843,442.0,139447.0,57881.0
1767593589953,1767593589.9499063,443.0,139441.0,57890.0
1767593589953,1767593589.9499218,442.0,139425.0,57881.0
1767593589953,1767593589.9499376,442.0,139431.0,57856.0
1767593589953,1767593589.949953,441.0,139456.0,57869.0
1767593589953,1767593589.9499688,441.0,139426.0,57883.0
1767593589953,1767593589.9499843,441.0,139480.0,57903.0
1767593590011,1767593589.9939063,442.0,139466.0,57909.0
1767593590011,1767593589.9939218,441.0,139487.0,57931.0
1767593590011,1767593589.9939375,442.0,139509.0,57963.0
1767593590011,1767593589.993953,441.0,139540.0,57992.0
1767593590011,1767593589.9939687,442.0,139606.0,58019.0
1767593590011,1767593589.9939842,441.0,139641.0,58052.0
1767593590121,1767593590.0839064,441.0,139643.0,58074.0
1767593590122,1767593590.083922,440.0,139665.0,58073.0
1767593590122,1767593590.0839376,441.0,139668.0,58063.0
1767593590122,1767593590.0839531,442.0,139667.0,58057.0
1767593590122,1767593590.0839689,441.0,139663.0,58012.0
1767593590122,1767593590.0839844,442.0,139625.0,58038.0
1767593590270,1767593590.2649064,442.0,139630.0,57995.0
1767593590274,1767593590.264922,443.0,139593.0,57995.0
1767593590274,1767593590.2649376,442.0,139622.0,57961.0
1767593590274,1767593590.2649531,442.0,139600.0,57959.0
1767593590274,1767593590.2649689,441.0,139566.0,57933.0
1767593590275,1767593590.2649844,442.0,139524.0,57916.0
1767593590306,1767593590.2979064,442.0,139529.0,57872.0
1767593590306,1767593590.297922,442.0,139496.0,57840.0
1767593590306,1767593590.2979376,442.0,139448.0,57845.0
1767593590306,1767593590.2979531,442.0,139490.0,57844.0
1767593590306,1767593590.2979689,442.0,139518.0,57861.0
1767593590306,1767593590.2979844,442.0,139498.0,57850.0
1767593590385,1767593590.3689063,441.0,139514.0,57881.0
1767593590385,1767593590.3689218,441.0,139532.0,57886.0
1767593590385,1767593590.3689375,441.0,139640.0,57952.0
1767593590385,1767593590.368953,441.0,139637.0,58054.0
1767593590385,1767593590.3689687,441.0,139702.0,58122.0
1767593590385,1767593590.3689842,442.0,139750.0,58179.0
1767593590462,1767593590.4589064,440.0,139823.0,58185.0
1767593590462,1767593590.458922,442.0,139794.0,58182.0
1767593590462,1767593590.4589376,441.0,139763.0,58160.0
1767593590462,1767593590.4589531,442.0,139743.0,58144.0
1767593590462,1767593590.4589689,441.0,139685.0,58127.0
1767593590462,1767593590.4589844,443.0,139682.0,58065.0
1767593590615,1767593590.6109064,442.0,139664.0,58074.0
1767593590615,1767593590.6109219,441.0,139657.0,58043.0
1767593590615,1767593590.6109376,442.0,139671.0,58029.0
1767593590615,1767593590.610953,442.0,139630.0,58029.0
1767593590615,1767593590.6109688,441.0,139593.0,58016.0
1767593590615,1767593590.6109843,442.0,139648.0,57994.0
1767593590675,1767593590.6429062,442.0,139625.0,57963.0
1767593590675,1767593590.6429217,441.0,139643.0,57956.0
1767593590675,1767593590.6429374,442.0,139565.0,57935.0
1767593590675,1767593590.642953,441.0,139625.0,57925.0
1767593590675,1767593590.6429687,440.0,139626.0,57945.0
1767593590675,1767593590.6429842,443.0,139644.0,57934.0
1767593590776,1767593590.7439063,441.0,139655.0,57965.0
1767593590776,1767593590.7439218,440.0,139703.0,57987.0
1767593590776,1767593590.7439375,442.0,139666.0,58004.0
1767593590776,1767593590.743953,441.0,139736.0,58008.0
1767593590776,1767593590.7439687,442.0,139693.0,58018.0
1767593590776,1767593590.7439842,442.0,139734.0,58067.0
1767593590838,1767593590.8339064,440.0,139830.0,58094.0
1767593590838,1767593590.833922,441.0,139828.0,58103.0
1767593590838,1767593590.8339376,442.0,139847.0,58102.0
1767593590838,1767593590.8339531,442.0,139852.0,58126.0
1767593590838,1767593590.8339689,443.0,139870.0,58102.0
1767593590838,1767593590.8339844,441.0,139877.0,58095.0
1767593590955,1767593590.9239063,442.0,139894.0,58117.0
1767593590955,1767593590.9239218,442.0,139875.0,58133.0
1767593590955,1767593590.9239376,442.0,139934.0,58112.0
1767593590955,1767593590.923953,443.0,139895.0,58131.0
1767593590955,1767593590.9239688,442.0,139894.0,58115.0
1767593590955,1767593590.9239843,441.0,139920.0,58114.0
1767593591067,1767593591.0629063,440.0,139969.0,58121.0
1767593591067,1767593591.0629218,441.0,139921.0,58123.0
1767593591067,1767593591.0629375,442.0,139895.0,58122.0
1767593591067,1767593591.062953,441.0,139909.0,58096.0
1767593591067,1767593591.0629687,442.0,139921.0,58082.0
1767593591067,1767593591.0629842,442.0,139981.0,58096.0
1767593591127,1767593591.1229062,441.0,139957.0,58096.0
1767593591127,1767593591.1229217,441.0,139966.0,58107.0
1767593591127,1767593591.1229374,441.0,139927.0,58072.0
1767593591127,1767593591.122953,442.0,139912.0,58085.0
1767593591133,1767593591.1229687,442.0,139929.0,58072.0
1767593591133,1767593591.1229842,441.0,139949.0,58078.0
1767593591212,1767593591.2089064,443.0,139891.0,58068.0
1767593591212,1767593591.208922,442.0,139924.0,58100.0
1767593591212,1767593591.2089376,442.0,139908.0,58066.0
1767593591212,1767593591.2089531,441.0,139910.0,58074.0
1767593591217,1767593591.2089689,442.0,139926.0,58088.0
1767593591217,1767593591.2089844,443.0,139948.0,58097.0
1767593591366,1767593591.3289063,443.0,139967.0,58076.0
1767593591366,1767593591.3289218,442.0,139936.0,58084.0
1767593591366,1767593591.3289375,443.0,139953.0,58098.0
1767593591366,1767593591.328953,442.0,139995.0,58107.0
1767593591366,1767593591.3289688,441.0,139934.0,58113.0
1767593591366,1767593591.3289843,442.0,139991.0,58121.0
1767593591427,1767593591.3939064,441.0,139946.0,58112.0
1767593591427,1767593591.3939219,441.0,139984.0,58114.0
1767593591427,1767593591.3939376,441.0,140001.0,58123.0
1767593591427,1767593591.393953,441.0,140028.0,58111.0
1767593591427,1767593591.3939688,440.0,139968.0,58137.0
1767593591427,1767593591.3939843,440.0,140023.0,58128.0
1767593591515,1767593591.4939063,441.0,140041.0,58169.0
1767593591515,1767593591.4939218,440.0,140078.0,58128.0
1767593591515,1767593591.4939375,442.0,140050.0,58138.0
1767593591515,1767593591.493953,441.0,140057.0,58137.0
1767593591515,1767593591.4939687,442.0,140067.0,58141.0
1767593591515,1767593591.4939842,442.0,140067.0,58134.0
1767593591601,1767593591.5989063,440.0,140044.0,58109.0
1767593591601,1767593591.5989218,442.0,140090.0,58113.0
1767593591601,1767593591.5989375,441.0,140124.0,58113.0
1767593591601,1767593591.598953,441.0,140074.0,58131.0
1767593591601,1767593591.5989687,441.0,140128.0,58114.0
1767593591601,1767593591.5989842,442.0,140113.0,58131.0
1767593591745,1767593591.7339063,442.0,140140.0,58140.0
1767593591745,1767593591.7339218,442.0,140137.0,58143.0
1767593591745,1767593591.7339375,442.0,140195.0,58135.0
1767593591745,1767593591.733953,442.0,140183.0,58125.0
1767593591745,1767593591.7339687,442.0,140185.0,58141.0
1767593591745,1767593591.7339842,441.0,140181.0,58148.0
1767593591795,1767593591.7789063,442.0,140209.0,58158.0
1767593591795,1767593591.7789218,441.0,140238.0,58162.0
1767593591795,1767593591.7789376,442.0,140249.0,58179.0
1767593591795,1767593591.778953,442.0,140216.0,58173.0
1767593591795,1767593591.7789688,440.0,140306.0,58165.0
1767593591795,1767593591.7789843,441.0,140274.0,58177.0
1767593591875,1767593591.8709064,441.0,140273.0,58192.0
1767593591875,1767593591.8709219,441.0,140284.0,58191.0
1767593591875,1767593591.8709376,441.0,140278.0,58185.0
1767593591875,1767593591.870953,442.0,140315.0,58184.0
1767593591875,1767593591.8709688,440.0,140292.0,58203.0
1767593591875,1767593591.8709843,442.0,140344.0,58207.0
1767593591963,1767593591.9589064,442.0,140336.0,58197.0
1767593591963,1767593591.958922,441.0,140374.0,58211.0
1767593591963,1767593591.9589376,443.0,140308.0,58213.0
1767593591963,1767593591.9589531,443.0,140363.0,58187.0
1767593591963,1767593591.9589689,443.0,140375.0,58216.0
1767593591963,1767593591.9589844,442.0,140363.0,58201.0
1767593592126,1767593592.1239064,441.0,140356.0,58196.0
1767593592126,1767593592.1239219,442.0,140355.0,58190.0
1767593592126,1767593592.1239376,441.0,140348.0,58196.0
1767593592126,1767593592.123953,441.0,140346.0,58214.0
1767593592126,1767593592.1239688,442.0,140319.0,58188.0
1767593592126,1767593592.1239843,442.0,140341.0,58198.0
1767593592162,1767593592.1549063,441.0,140350.0,58182.0
1767593592162,1767593592.1549218,442.0,140321.0,58184.0
1767593592162,1767593592.1549375,442.0,140371.0,58203.0
1767593592162,1767593592.154953,441.0,140360.0,58178.0
1767593592162,1767593592.1549687,440.0,140371.0,58192.0
1767593592162,1767593592.1549842,443.0,140414.0,58210.0
1767593592263,1767593592.2609062,441.0,140403.0,58215.0
1767593592263,1767593592.2609217,442.0,140391.0,58210.0
1767593592263,1767593592.2609375,442.0,140405.0,58206.0
1767593592263,1767593592.260953,442.0,140391.0,58199.0
1767593592263,1767593592.2609687,443.0,140407.0,58211.0
1767593592263,1767593592.2609842,442.0,140402.0,58198.0
1767593592357,1767593592.3489063,442.0,140398.0,58206.0
1767593592357,1767593592.3489218,443.0,140424.0,58203.0
1767593592357,1767593592.3489375,442.0,140474.0,58230.0
1767593592357,1767593592.348953,443.0,140429.0,58218.0
1767593592358,1767593592.3489687,442.0,140449.0,58219.0
1767593592358,1767593592.3489842,443.0,140472.0,58190.0
1767593592457,1767593592.4549062,441.0,140519.0,58214.0
1767593592457,1767593592.4549217,442.0,140491.0,58219.0
1767593592457,1767593592.4549375,442.0,140464.0,58234.0
1767593592457,1767593592.454953,441.0,140503.0,58262.0
1767593592457,1767593592.4549687,442.0,140534.0,58234.0
1767593592457,1767593592.4549842,441.0,140531.0,58245.0
1767593592549,1767593592.5289063,441.0,140543.0,58260.0
1767593592549,1767593592.5289218,442.0,140518.0,58231.0
1767593592549,1767593592.5289376,442.0,140565.0,58255.0
1767593592549,1767593592.528953,440.0,140533.0,58259.0
1767593592549,1767593592.5289688,441.0,140630.0,58298.0
1767593592549,1767593592.5289843,441.0,140578.0,58262.0
1767593592637,1767593592.6339064,442.0,140603.0,58275.0
1767593592637,1767593592.6339219,442.0,140612.0,58259.0
1767593592637,1767593592.6339376,442.0,140611.0,58281.0
1767593592637,1767593592.633953,443.0,140607.0,58269.0
1767593592637,1767593592.6339688,442.0,140641.0,58274.0
1767593592637,1767593592.6339843,441.0,140650.0,58262.0
1767593592714,1767593592.7089064,441.0,140636.0,58263.0
1767593592714,1767593592.708922,442.0,140660.0,58279.0
1767593592714,1767593592.7089376,443.0,140680.0,58283.0
1767593592714,1767593592.7089531,442.0,140695.0,58290.0
1767593592714,1767593592.7089689,441.0,140687.0,58285.0
1767593592714,1767593592.7089844,441.0,140703.0,58285.0
1767593592821,1767593592.8179064,441.0,140755.0,58303.0
1767593592821,1767593592.8179219,442.0,140741.0,58296.0
1767593592821,1767593592.8179376,442.0,140695.0,58292.0
1767593592821,1767593592.817953,441.0,140743.0,58299.0
1767593592821,1767593592.8179688,442.0,140773.0,58315.0
1767593592821,1767593592.8179843,442.0,140738.0,58295.0
1767593592906,1767593592.9039063,442.0,140743.0,58320.0
1767593592906,1767593592.9039218,441.0,140709.0,58295.0
1767593592906,1767593592.9039376,442.0,140728.0,58290.0
1767593592906,1767593592.903953,441.0,140751.0,58303.0
1767593592906,1767593592.9039688,442.0,140750.0,58308.0
1767593592906,1767593592.9039843,442.0,140724.0,58304.0
1767593593027,1767593592.9969063,442.0,140708.0,58278.0
1767593593027,1767593592.9969218,443.0,140733.0,58298.0
1767593593027,1767593592.9969375,442.0,140739.0,58296.0
1767593593027,1767593592.996953,443.0,140737.0,58286.0
1767593593027,1767593592.9969687,442.0,140707.0,58290.0
1767593593027,1767593592.9969842,442.0,140734.0,58277.0
1767593593191,1767593593.1589062,442.0,140709.0,58300.0
1767593593191,1767593593.1589217,441.0,140739.0,58303.0
1767593593191,1767593593.1589375,442.0,140765.0,58289.0
1767593593191,1767593593.158953,441.0,140720.0,58298.0
1767593593191,1767593593.1589687,442.0,140758.0,58272.0
1767593593191,1767593593.1589842,443.0,140766.0,58306.0
1767593593222,1767593593.2189064,442.0,140750.0,58289.0
1767593593222,1767593593.218922,443.0,140753.0,58290.0
1767593593222,1767593593.2189376,440.0,140765.0,58291.0
1767593593222,1767593593.2189531,443.0,140803.0,58292.0
1767593593222,1767593593.2189689,441.0,140745.0,58293.0
1767593593222,1767593593.2189844,442.0,140823.0,58303.0
1767593593286,1767593593.2809062,442.0,140775.0,58289.0
1767593593286,1767593593.2809217,442.0,140769.0,58303.0
1767593593286,1767593593.2809374,442.0,140796.0,58306.0
1767593593286,1767593593.280953,443.0,140767.0,58294.0
1767593593286,1767593593.2809687,443.0,140825.0,58312.0
1767593593286,1767593593.2809842,441.0,140813.0,58314.0
1767593593431,1767593593.4289062,443.0,140795.0,58296.0
